product_category_id;product_category_name                                    ;parent_product_category_id
10                 ;Ресторани                                                ;null
20                 ;Магазини                                                 ;null
#
#
30                 ;Фрукти, овочі, соління																		                 ;20
40                 ;М''ясо, риба, птиця                                      ;20
50                 ;М''ясо-ковбасні вироби                                   ;20
60                 ;Сири                                                     ;20
70                 ;Хліб та хлібобулочні вироби                              ;20
80                 ;Кулінарія                                                ;20
90                 ;Молочні продукти та яйця                                 ;20
100                ;Заморожена продукція                                     ;20
110                ;Бакалія                                                  ;20
120                ;Консерви, соуси, приправи                                ;20
130                ;Солодощі                                                 ;20
140                ;Закуски                                                  ;20
150                ;Кава, чай                                                ;20
160                ;Напої                                                    ;20
170                ;Алкоголь                                                 ;20
180                ;Тютюнові вироби                                          ;20
190                ;Гігієна                                                  ;20
200                ;Для дому                                                 ;20
210                ;Дитячі товари                                            ;20
220                ;Для тварин                                               ;20
#
#
230                ;Гриби свіжі                                              ;30
240                ;Зелень                                                   ;30
250                ;Салат                                                    ;30
260                ;Овочі                                                    ;30
270                ;Фрукти                                                   ;30
280                ;Фруктові делікатеси                                      ;30
290                ;Соління, мариновані страви                               ;30
300                ;Сушені фрукти, гриби, горіхи                             ;30
#
#
310                ;Свіже м''ясо                                             ;40
320                ;Приготовлена риба та морепродукти                        ;40
330                ;Заморожена риба, морепродукти та молюски                 ;40
#
#
340                ;Бутербродні намазки                                      ;50
350                ;Варені ковбасні вироби                                   ;50
360                ;Копчені ковбасні вироби                                  ;50
370                ;Цільном''ясні вироби                                     ;50
380                ;Готові вироби з м''ясних субпродуктів                    ;50
#
#
400                ;Сири м''які                                              ;60
410                ;Сири плавлені                                            ;60
420                ;Сири розсільні                                           ;60
430                ;Сири напівтверді                                         ;60
440                ;Сири тверді                                              ;60
#
#
450                ;Булочки, здобні вироби                                   ;70
460                ;Круасани, слойки                                         ;70
470                ;Сушка і сухарі                                           ;70
480                ;Хліб                                                     ;70
490                ;Лаваш, коржі та заготовки                                ;70
500                ;Швидке харчування                                        ;70
#
#
510                ;Гриль                                                    ;80
520                ;Салати                                                   ;80
530                ;Гарніри                                                  ;80
540                ;М''ясні страви                                           ;80
550                ;Рибні страви                                             ;80
560                ;Мариновані страви                                        ;80
570                ;Піца                                                     ;80
580                ;Десерти                                                  ;80
#
#
590                ;Йогурти, десерти                                         ;90
600                ;Кисломолочна продукція                                   ;90
610                ;Молоко, вершки                                           ;90
620                ;Сир кисломолочний                                        ;90
630                ;Масло, маргарин, спред                                   ;90
640                ;Безмолочна продукція                                     ;90
650                ;Яйця                                                     ;90
#
#
670                ;Морозиво                                                 ;100
680                ;Піца заморожена                                          ;100
690                ;Пельмені, вареники та інші відварні заморожені вироби				;100
700                ;Готові страви заморожені                                 ;100
710                ;Заморожені овочі та фрукти                               ;100
720                ;Тісто заморожене                                         ;100
730                ;Вироби з тіста, напівфабрикати для випічки заморожені    ;100
740                ;М''ясні та овочеві напівфабрикати заморожені             ;100
#
#
750                ;Олія                                                     ;110
760                ;Макарони                                                 ;110
770                ;Крупи                                                    ;110
780                ;Борошно                                                  ;110
790                ;Цукор та цукрозамінники                                  ;110
800                ;Все для випічки та десертів                              ;110
810                ;Їжа швидкого приготування                                ;110
820                ;Готові сніданки                                          ;110
830                ;Дієтичне харчування                                      ;110
#
#
840                ;Варення та джеми                                         ;120
850                ;Фруктова консервація                                     ;120
860                ;Грибна консервація                                       ;120
870                ;Овочева консервація                                      ;120
880                ;Кукурудза та горошок                                     ;120
890                ;Оливки                                                   ;120
900                ;М''ясна консервація                                      ;120
910                ;Рибна консервація                                        ;120
920                ;Пасти шоколадно-горіхові                                 ;120
930                ;Мед                                                      ;120
940                ;Сіль                                                     ;120
950                ;Оцет                                                     ;120
960                ;Майонез                                                  ;120
970                ;Кетчуп, соус                                             ;120
980                ;Хрін, гірчиця                                            ;120
990                ;Панірувальні сухарі                                      ;120
1000               ;Приправи та спеції                                       ;120
#
#
1010               ;Торти, тістечка                                          ;130
1020               ;Драже                                                    ;130
1030               ;Жуйки та льодяники                                       ;130
1040               ;Зефір, мармелад, пастила                                 ;130
1050               ;Цукерки                                                  ;130
1060               ;Східні солодощі                                          ;130
1070               ;Шоколад                                                  ;130
1080               ;Шоколадні вироби ручної роботи                           ;130
1090               ;Вафлі                                                    ;130
1100               ;Печиво, пряники                                          ;130
1110               ;Кекси та бісквіти                                        ;130
#
#
